video,subdomain,domain,top_level,response
why-even-atheists-should-teach-their-children-about-god,www.hsph,harvard,edu,200
why-even-atheists-should-teach-their-children-about-god,www.hsph,harvard,edu,200
why-even-atheists-should-teach-their-children-about-god,www,amazon,com,500
why-even-atheists-should-teach-their-children-about-god,www,amazon,com,500
why-even-atheists-should-teach-their-children-about-god,,religionnews,com,200
why-even-atheists-should-teach-their-children-about-god,www,prageru,com,200
why-even-atheists-should-teach-their-children-about-god,www,amazon,com,500
why-even-atheists-should-teach-their-children-about-god,news,gallup,com,200
why-even-atheists-should-teach-their-children-about-god,www,prageru,com,200
